cell,gamma,method,method_source,n_seeds,mean_arm_AUC,mean_vanilla_AUC,delta,ci_lo,ci_hi,sig
AC-Trap,0.6,best_fixed_positive_TAB,fixed_beta_+0.1,10,529060.2,528928.5,131.7,87.8,174.2,✓
AC-Trap,0.6,best_fixed_negative_TAB,fixed_beta_-0.1,10,528876.1,528928.5,-52.4,-97.0,-10.2,✗
AC-Trap,0.6,best_fixed_beta_grid,fixed_beta_+0.1,10,529060.2,528928.5,131.7,87.8,174.2,✓
AC-Trap,0.6,restart_Q_learning,restart_Q_learning,10,779525.1,528928.5,250596.6,248254.2825,252826.6075,✓
AC-Trap,0.6,sliding_window_Q_learning,sliding_window_Q_learning,10,525859.9,528928.5,-3068.6,-3593.81,-2518.4925000000007,✗
AC-Trap,0.6,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,573122.6,528928.5,44194.1,43878.197499999995,44512.402500000004,✓
AC-Trap,0.8,best_fixed_positive_TAB,fixed_beta_+0.05,10,528889.3,528933.2,-43.9,-147.5,49.4,0
AC-Trap,0.8,best_fixed_negative_TAB,fixed_beta_-0.05,10,528888.7,528933.2,-44.5,-71.10249999999999,-21.1,✗
AC-Trap,0.8,best_fixed_beta_grid,vanilla,10,528933.2,528933.2,0.0,0.0,0.0,0
AC-Trap,0.8,restart_Q_learning,restart_Q_learning,10,778275.7,528933.2,249342.5,246930.995,251897.615,✓
AC-Trap,0.8,sliding_window_Q_learning,sliding_window_Q_learning,10,525643.3,528933.2,-3289.9,-3924.81,-2650.7,✗
AC-Trap,0.8,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,573148.9,528933.2,44215.7,43879.597499999996,44554.9,✓
AC-Trap,0.9,best_fixed_positive_TAB,fixed_beta_+0.05,10,488732.4,528998.7,-40266.3,-42093.0025,-38726.2975,✗
AC-Trap,0.9,best_fixed_negative_TAB,fixed_beta_-0.05,10,528898.4,528998.7,-100.3,-157.4025,-39.5,✗
AC-Trap,0.9,best_fixed_beta_grid,vanilla,10,528998.7,528998.7,0.0,0.0,0.0,0
AC-Trap,0.9,restart_Q_learning,restart_Q_learning,10,767558.7,528998.7,238560.0,213585.97,252174.71250000002,✓
AC-Trap,0.9,sliding_window_Q_learning,sliding_window_Q_learning,10,525562.3,528998.7,-3436.4,-4074.3050000000003,-2810.695,✗
AC-Trap,0.9,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,573046.2,528998.7,44047.5,43566.2,44490.4,✓
AC-Trap,0.95,best_fixed_positive_TAB,fixed_beta_+0.05,10,478073.6,528998.2,-50924.6,-51924.21,-49830.25000000001,✗
AC-Trap,0.95,best_fixed_negative_TAB,fixed_beta_-0.05,10,528917.4,528998.2,-80.8,-141.8,-27.2,✗
AC-Trap,0.95,best_fixed_beta_grid,vanilla,10,528998.2,528998.2,0.0,0.0,0.0,0
AC-Trap,0.95,restart_Q_learning,restart_Q_learning,10,777460.9,528998.2,248462.7,245970.49,250984.41,✓
AC-Trap,0.95,sliding_window_Q_learning,sliding_window_Q_learning,10,525444.7,528998.2,-3553.5,-4234.0125,-2859.8750000000023,✗
AC-Trap,0.95,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,572483.6,528998.2,43485.4,43088.9975,43857.302500000005,✓
RR-StationaryConvention,0.6,best_fixed_positive_TAB,fixed_beta_+0.05,10,56468.2,56489.0,-20.8,-41.8,-6.0,✗
RR-StationaryConvention,0.6,best_fixed_negative_TAB,fixed_beta_-0.5,10,56515.0,56489.0,26.0,8.195000000000004,42.8,✓
RR-StationaryConvention,0.6,best_fixed_beta_grid,fixed_beta_-0.5,10,56515.0,56489.0,26.0,8.195000000000004,42.8,✓
RR-StationaryConvention,0.6,restart_Q_learning,restart_Q_learning,10,54333.2,56489.0,-2155.8,-2320.6,-2010.0,✗
RR-StationaryConvention,0.6,sliding_window_Q_learning,sliding_window_Q_learning,10,56489.0,56489.0,0.0,0.0,0.0,0
RR-StationaryConvention,0.6,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,70954.6,56489.0,14465.6,14280.8,14642.404999999999,✓
RR-StationaryConvention,0.8,best_fixed_positive_TAB,fixed_beta_+0.05,10,56341.4,56366.6,-25.2,-37.0,-12.4,✗
RR-StationaryConvention,0.8,best_fixed_negative_TAB,fixed_beta_-0.5,10,56490.8,56366.6,124.2,87.2,164.2,✓
RR-StationaryConvention,0.8,best_fixed_beta_grid,fixed_beta_-0.5,10,56490.8,56366.6,124.2,87.2,164.2,✓
RR-StationaryConvention,0.8,restart_Q_learning,restart_Q_learning,10,53189.2,56366.6,-3177.4,-3511.4,-2869.4,✗
RR-StationaryConvention,0.8,sliding_window_Q_learning,sliding_window_Q_learning,10,56366.6,56366.6,0.0,0.0,0.0,0
RR-StationaryConvention,0.8,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,70834.6,56366.6,14468.0,14289.8,14640.009999999998,✓
RR-StationaryConvention,0.9,best_fixed_positive_TAB,fixed_beta_+0.05,10,56099.6,56273.2,-173.6,-246.0,-112.8,✗
RR-StationaryConvention,0.9,best_fixed_negative_TAB,fixed_beta_-0.5,10,56480.0,56273.2,206.8,157.8,260.0,✓
RR-StationaryConvention,0.9,best_fixed_beta_grid,fixed_beta_-0.5,10,56480.0,56273.2,206.8,157.8,260.0,✓
RR-StationaryConvention,0.9,restart_Q_learning,restart_Q_learning,10,52139.6,56273.2,-4133.6,-4492.205,-3815.9950000000003,✗
RR-StationaryConvention,0.9,sliding_window_Q_learning,sliding_window_Q_learning,10,56273.2,56273.2,0.0,0.0,0.0,0
RR-StationaryConvention,0.9,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,70741.2,56273.2,14468.0,14255.0,14672.8,✓
RR-StationaryConvention,0.95,best_fixed_positive_TAB,fixed_beta_+0.05,10,55725.8,56159.6,-433.8,-528.4,-347.79500000000047,✗
RR-StationaryConvention,0.95,best_fixed_negative_TAB,fixed_beta_-0.5,10,56479.6,56159.6,320.0,241.2,401.4,✓
RR-StationaryConvention,0.95,best_fixed_beta_grid,fixed_beta_-0.5,10,56479.6,56159.6,320.0,241.2,401.4,✓
RR-StationaryConvention,0.95,restart_Q_learning,restart_Q_learning,10,51499.8,56159.6,-4659.8,-5050.205,-4289.0,✗
RR-StationaryConvention,0.95,sliding_window_Q_learning,sliding_window_Q_learning,10,56159.6,56159.6,0.0,0.0,0.0,0
RR-StationaryConvention,0.95,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,70578.6,56159.6,14419.0,14232.595000000001,14602.4,✓
SH-FiniteMemoryRegret,0.6,best_fixed_positive_TAB,fixed_beta_+0.35,10,106705.7,106621.6,84.1,-39.2,219.90249999999978,0
SH-FiniteMemoryRegret,0.6,best_fixed_negative_TAB,fixed_beta_-0.05,10,106660.3,106621.6,38.7,-60.8,145.20249999999976,0
SH-FiniteMemoryRegret,0.6,best_fixed_beta_grid,fixed_beta_+0.35,10,106705.7,106621.6,84.1,-39.2,219.90249999999978,0
SH-FiniteMemoryRegret,0.6,restart_Q_learning,restart_Q_learning,10,86243.0,106621.6,-20378.6,-23746.7,-17039.965000000004,✗
SH-FiniteMemoryRegret,0.6,sliding_window_Q_learning,sliding_window_Q_learning,10,106621.6,106621.6,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.6,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,118024.1,106621.6,11402.5,11299.9,11494.8,✓
SH-FiniteMemoryRegret,0.8,best_fixed_positive_TAB,fixed_beta_+0.05,10,106573.5,106636.9,-63.4,-182.9025,54.602499999999786,0
SH-FiniteMemoryRegret,0.8,best_fixed_negative_TAB,fixed_beta_-0.5,10,106734.2,106636.9,97.3,9.9,181.8,✓
SH-FiniteMemoryRegret,0.8,best_fixed_beta_grid,fixed_beta_-0.5,10,106734.2,106636.9,97.3,9.9,181.8,✓
SH-FiniteMemoryRegret,0.8,restart_Q_learning,restart_Q_learning,10,84494.3,106636.9,-22142.6,-23716.21,-19971.680000000004,✗
SH-FiniteMemoryRegret,0.8,sliding_window_Q_learning,sliding_window_Q_learning,10,106636.9,106636.9,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.8,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,118079.5,106636.9,11442.6,11291.295,11589.9025,✓
SH-FiniteMemoryRegret,0.9,best_fixed_positive_TAB,fixed_beta_+0.05,10,106340.2,106572.3,-232.1,-465.2,1.9,0
SH-FiniteMemoryRegret,0.9,best_fixed_negative_TAB,fixed_beta_-0.2,10,106671.7,106572.3,99.4,-68.5,264.4049999999995,0
SH-FiniteMemoryRegret,0.9,best_fixed_beta_grid,fixed_beta_-0.2,10,106671.7,106572.3,99.4,-68.5,264.4049999999995,0
SH-FiniteMemoryRegret,0.9,restart_Q_learning,restart_Q_learning,10,83331.0,106572.3,-23241.3,-25051.2,-21484.075,✗
SH-FiniteMemoryRegret,0.9,sliding_window_Q_learning,sliding_window_Q_learning,10,106572.3,106572.3,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,118007.0,106572.3,11434.7,11254.8,11614.4,✓
SH-FiniteMemoryRegret,0.95,best_fixed_positive_TAB,fixed_beta_+0.05,10,105798.7,106510.0,-711.3,-915.0025,-456.1975000000002,✗
SH-FiniteMemoryRegret,0.95,best_fixed_negative_TAB,fixed_beta_-0.5,10,106657.8,106510.0,147.8,-14.902499999999998,334.6,0
SH-FiniteMemoryRegret,0.95,best_fixed_beta_grid,fixed_beta_-0.5,10,106657.8,106510.0,147.8,-14.902499999999998,334.6,0
SH-FiniteMemoryRegret,0.95,restart_Q_learning,restart_Q_learning,10,87636.7,106510.0,-18873.3,-21148.71,-16245.797499999999,✗
SH-FiniteMemoryRegret,0.95,sliding_window_Q_learning,sliding_window_Q_learning,10,106510.0,106510.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.95,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,118092.9,106510.0,11582.9,11469.1975,11710.9,✓
DC-Long50,0.6,best_fixed_positive_TAB,fixed_beta_+0.05,10,269373.6436303403,269408.0113521572,-34.36772181693232,-34.36772181693232,-34.36772181693232,✗
DC-Long50,0.6,best_fixed_negative_TAB,fixed_beta_-2.0,10,270202.9317102294,269408.0113521572,794.9203580722096,794.9203580722096,794.9203580722096,✓
DC-Long50,0.6,best_fixed_beta_grid,fixed_beta_-2.0,10,270202.9317102294,269408.0113521572,794.9203580722096,794.9203580722096,794.9203580722096,✓
DC-Long50,0.6,restart_Q_learning,restart_Q_learning,10,269408.0113521572,269408.0113521572,0.0,0.0,0.0,0
DC-Long50,0.6,sliding_window_Q_learning,sliding_window_Q_learning,10,269408.0113521572,269408.0113521572,0.0,0.0,0.0,0
DC-Long50,0.6,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,269408.0113521572,269408.0113521572,0.0,0.0,0.0,0
DC-Long50,0.8,best_fixed_positive_TAB,fixed_beta_+0.05,10,264013.77226541017,264100.12039601896,-86.34813060879242,-86.34813060879242,-86.34813060879242,✗
DC-Long50,0.8,best_fixed_negative_TAB,fixed_beta_-2.0,10,265610.31117463217,264100.12039601896,1510.190778613207,1510.190778613207,1510.190778613207,✓
DC-Long50,0.8,best_fixed_beta_grid,fixed_beta_-2.0,10,265610.31117463217,264100.12039601896,1510.190778613207,1510.190778613207,1510.190778613207,✓
DC-Long50,0.8,restart_Q_learning,restart_Q_learning,10,264100.12039601896,264100.12039601896,0.0,0.0,0.0,0
DC-Long50,0.8,sliding_window_Q_learning,sliding_window_Q_learning,10,264100.12039601896,264100.12039601896,0.0,0.0,0.0,0
DC-Long50,0.8,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,264100.12039601896,264100.12039601896,0.0,0.0,0.0,0
DC-Long50,0.9,best_fixed_positive_TAB,fixed_beta_+0.05,10,260339.96714512972,260520.00051410467,-180.0333689749532,-180.0333689749532,-180.0333689749532,✗
DC-Long50,0.9,best_fixed_negative_TAB,fixed_beta_-2.0,10,262712.44229273533,260520.00051410467,2192.441778630571,2192.441778630571,2192.441778630571,✓
DC-Long50,0.9,best_fixed_beta_grid,fixed_beta_-2.0,10,262712.44229273533,260520.00051410467,2192.441778630571,2192.441778630571,2192.441778630571,✓
DC-Long50,0.9,restart_Q_learning,restart_Q_learning,10,260520.00051410467,260520.00051410467,0.0,0.0,0.0,0
DC-Long50,0.9,sliding_window_Q_learning,sliding_window_Q_learning,10,260520.00051410467,260520.00051410467,0.0,0.0,0.0,0
DC-Long50,0.9,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,260520.00051410467,260520.00051410467,0.0,0.0,0.0,0
DC-Long50,0.95,best_fixed_positive_TAB,fixed_beta_+0.05,10,258277.13817533533,258622.21485393625,-345.07667860088986,-345.07667860088986,-345.07667860088986,✗
DC-Long50,0.95,best_fixed_negative_TAB,fixed_beta_-2.0,10,261459.30122488778,258622.21485393625,2837.0863709515543,2837.0863709515543,2837.0863709515543,✓
DC-Long50,0.95,best_fixed_beta_grid,fixed_beta_-2.0,10,261459.30122488778,258622.21485393625,2837.0863709515543,2837.0863709515543,2837.0863709515543,✓
DC-Long50,0.95,restart_Q_learning,restart_Q_learning,10,258622.21485393625,258622.21485393625,0.0,0.0,0.0,0
DC-Long50,0.95,sliding_window_Q_learning,sliding_window_Q_learning,10,258622.21485393625,258622.21485393625,0.0,0.0,0.0,0
DC-Long50,0.95,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,258622.21485393625,258622.21485393625,0.0,0.0,0.0,0
