idx,family,total_score,predicted_mean_abs_u_informative,predicted_median_abs_u_informative,predicted_frac_informative_ge_5e3,mean_abs_target_gap_norm,informative_stage_frac,mean_abs_u_pred,frac_u_ge_5e3,error
0,dense_chain_cost,10.83094662,0.00844194,0.00929077,0.88888889,0.01257446,0.90000000,0.00854492,0.85000000,
1,dense_chain_cost,7.18395476,0.00523380,0.00560065,0.69611111,0.00885450,0.90000000,0.00533582,0.80000000,
2,dense_chain_cost,10.83094662,0.00844194,0.00929077,0.88888889,0.01257446,0.90000000,0.00854492,0.85000000,
3,dense_chain_cost,10.83094662,0.00844194,0.00929077,0.88888889,0.01257446,0.90000000,0.00854492,0.85000000,
4,dense_chain_cost,10.83094662,0.00844194,0.00929077,0.88888889,0.01257446,0.90000000,0.00854492,0.85000000,
5,dense_chain_cost,6.19039873,0.00540493,0.00638506,0.62453715,0.00698463,0.75000000,0.00460551,0.50000000,
6,dense_chain_cost,7.18395476,0.00523380,0.00560065,0.69611111,0.00885450,0.90000000,0.00533582,0.80000000,
7,dense_chain_cost,7.18395476,0.00523380,0.00560065,0.69611111,0.00885450,0.90000000,0.00533582,0.80000000,
8,dense_chain_cost,7.18395476,0.00523380,0.00560065,0.69611111,0.00885450,0.90000000,0.00533582,0.80000000,
9,dense_chain_cost,1.89754113,0.00317364,0.00364351,0.04468033,0.00469500,0.75000000,0.00276643,0.00000000,
10,dense_chain_cost,-0.68463013,0.00186631,0.00201307,0.12125000,0.00012636,0.20000000,0.00120942,0.05000000,
11,dense_chain_cost,-0.80934072,0.00167741,0.00154470,0.09700000,0.00013674,0.25000000,0.00125596,0.05000000,
12,dense_chain_cost,-1.58217424,0.00101247,0.00092244,0.00000000,0.00008893,0.25000000,0.00078766,0.00000000,
13,dense_chain_cost,-0.69048737,0.00186537,0.00172711,0.12125000,0.00010871,0.20000000,0.00108683,0.05000000,
14,dense_chain_cost,-0.34089029,0.00199238,0.00035858,0.22500000,0.00010697,0.10000000,0.00096771,0.05000000,
15,dense_chain_cost,-1.38341426,0.00134463,0.00154852,0.00000000,0.00015707,0.25000000,0.00109274,0.00000000,
16,dense_chain_cost,-1.57807512,0.00101552,0.00098503,0.00000000,0.00009706,0.25000000,0.00082143,0.00000000,
17,dense_chain_cost,-0.68609632,0.00186594,0.00196087,0.12125000,0.00012218,0.20000000,0.00119167,0.05000000,
18,dense_chain_cost,-1.60174974,0.00112181,0.00108258,0.00000000,0.00007468,0.20000000,0.00072408,0.00000000,
19,dense_chain_cost,-1.59811063,0.00112240,0.00122753,0.00000000,0.00008564,0.20000000,0.00077578,0.00000000,
20,shaped_chain,-0.84153955,0.00145826,0.00104404,0.06062500,0.00018405,0.40000000,0.00128697,0.05000000,
21,shaped_chain,-0.84805791,0.00152314,0.00102608,0.06928571,0.00017316,0.35000000,0.00126481,0.05000000,
22,shaped_chain,-1.41217861,0.00089478,0.00068810,0.00000000,0.00012672,0.40000000,0.00081120,0.00000000,
23,shaped_chain,-0.85331198,0.00152464,0.00105703,0.06928571,0.00015319,0.35000000,0.00129580,0.05000000,
24,shaped_chain,-2.50231603,0.00000000,0.00000000,0.00000000,0.00006282,0.00000000,0.00068067,0.00000000,
25,shaped_chain,-1.89776422,0.00077734,0.00061786,0.00000000,0.00019478,0.10000000,0.00124325,0.00000000,
26,shaped_chain,-1.28953724,0.00139446,0.00152007,0.00000000,0.00020453,0.28571429,0.00120449,0.00000000,
27,shaped_chain,-1.43030529,0.00086605,0.00060955,0.00000000,0.00011774,0.40000000,0.00079349,0.00000000,
28,shaped_chain,-0.88703951,0.00146521,0.00101380,0.06928571,0.00014704,0.35000000,0.00127697,0.05000000,
29,shaped_chain,-2.51148000,0.00000000,0.00000000,0.00000000,0.00003261,0.00000000,0.00032453,0.00000000,
30,shaped_chain,-1.49252547,0.00089531,0.00066484,0.00000000,0.00010446,0.35000000,0.00083035,0.00000000,
31,shaped_chain,-0.84153955,0.00145826,0.00104404,0.06062500,0.00018405,0.40000000,0.00128697,0.05000000,
32,shaped_chain,-2.50667088,0.00000000,0.00000000,0.00000000,0.00004847,0.00000000,0.00040691,0.00000000,
33,shaped_chain,-1.41217861,0.00089478,0.00068810,0.00000000,0.00012672,0.40000000,0.00081120,0.00000000,
34,shaped_chain,-2.50389383,0.00000000,0.00000000,0.00000000,0.00005762,0.00000000,0.00063744,0.00000000,
35,shaped_chain,-0.85331198,0.00152464,0.00105703,0.06928571,0.00015319,0.35000000,0.00129580,0.05000000,
36,shaped_chain,-2.50733602,0.00000000,0.00000000,0.00000000,0.00004627,0.00000000,0.00040165,0.00000000,
37,shaped_chain,-2.51148000,0.00000000,0.00000000,0.00000000,0.00003261,0.00000000,0.00032453,0.00000000,
38,shaped_chain,-2.50231603,0.00000000,0.00000000,0.00000000,0.00006282,0.00000000,0.00068067,0.00000000,
39,shaped_chain,-1.84463486,0.00063339,0.00078818,0.00000000,0.00013726,0.20000000,0.00074522,0.00000000,
40,two_path_chain,0.03082209,0.00219601,0.00135490,0.13350000,0.00027366,0.50000000,0.00176305,0.10000000,
41,two_path_chain,-0.70497017,0.00129443,0.00087804,0.06090909,0.00018933,0.55000000,0.00112104,0.05000000,
42,two_path_chain,0.16880449,0.00221679,0.00172418,0.10269231,0.00038189,0.65000000,0.00206593,0.10000000,
43,two_path_chain,0.45291589,0.00247008,0.00187203,0.09100000,0.00054340,0.75000000,0.00245140,0.10000000,
44,two_path_chain,0.16880449,0.00221679,0.00172418,0.10269231,0.00038189,0.65000000,0.00206593,0.10000000,
45,two_path_chain,-0.28121888,0.00204477,0.00174299,0.06090909,0.00026005,0.55000000,0.00171035,0.05000000,
46,two_path_chain,-1.13797416,0.00170953,0.00165825,0.00000000,0.00022758,0.26923077,0.00129143,0.00000000,
47,two_path_chain,-0.48947350,0.00133800,0.00096310,0.04785714,0.00027035,0.70000000,0.00131847,0.05000000,
48,two_path_chain,-0.25170415,0.00148699,0.00115933,0.04187500,0.00038545,0.80000000,0.00154428,0.05000000,
49,two_path_chain,-0.48947350,0.00133800,0.00096310,0.04785714,0.00027035,0.70000000,0.00131847,0.05000000,
50,two_path_chain,0.75957309,0.00266975,0.00214371,0.08911765,0.00074004,0.85000000,0.00279890,0.10000000,
51,two_path_chain,0.01942660,0.00155399,0.00115493,0.03526316,0.00052052,0.95000000,0.00174220,0.05000000,
52,two_path_chain,1.28293065,0.00315366,0.00290251,0.08263158,0.00121156,0.95000000,0.00340461,0.10000000,
53,two_path_chain,0.38824342,0.00203206,0.00182597,0.03526316,0.00089139,0.95000000,0.00218439,0.05000000,
54,two_path_chain,-0.94078214,0.00119149,0.00111714,0.00000000,0.00018213,0.60000000,0.00106133,0.00000000,
55,two_path_chain,0.30613206,0.00241447,0.00216426,0.04250000,0.00057658,0.80000000,0.00236832,0.05000000,
56,two_path_chain,-0.29337100,0.00143701,0.00131228,0.00000000,0.00042120,0.90000000,0.00150146,0.00000000,
57,two_path_chain,0.83290134,0.00277788,0.00264832,0.03736842,0.00101028,0.95000000,0.00287837,0.05000000,
58,two_path_chain,0.13019701,0.00174224,0.00165862,0.02315789,0.00071828,0.95000000,0.00179719,0.00000000,
59,two_path_chain,-1.55676943,0.00096892,0.00093249,0.00000000,0.00015598,0.26923077,0.00083074,0.00000000,
60,dense_grid_hazard,-1.67794539,0.00141144,0.00141144,0.00000000,0.00004221,0.05000000,0.00051941,0.00000000,
61,dense_grid_hazard,-1.68112567,0.00141144,0.00141144,0.00000000,0.00003172,0.05000000,0.00036615,0.00000000,
62,dense_grid_hazard,-1.67792893,0.00141144,0.00141144,0.00000000,0.00004226,0.05000000,0.00051941,0.00000000,
63,dense_grid_hazard,-1.68158247,0.00141144,0.00141144,0.00000000,0.00003022,0.05000000,0.00048168,0.00000000,
64,dense_grid_hazard,-1.68370009,0.00141144,0.00141144,0.00000000,0.00002323,0.05000000,0.00046713,0.00000000,
65,dense_grid_hazard,-1.67824522,0.00141144,0.00141144,0.00000000,0.00004122,0.05000000,0.00052291,0.00000000,
66,dense_grid_hazard,-1.67785932,0.00141144,0.00141144,0.00000000,0.00004249,0.05000000,0.00052220,0.00000000,
67,dense_grid_hazard,-1.68111582,0.00141144,0.00141144,0.00000000,0.00003175,0.05000000,0.00036615,0.00000000,
68,dense_grid_hazard,-1.74211582,0.00130299,0.00130299,0.00000000,0.00002234,0.05000000,0.00033560,0.00000000,
69,dense_grid_hazard,-1.68156436,0.00141144,0.00141144,0.00000000,0.00003028,0.05000000,0.00048168,0.00000000,
70,dense_grid_hazard,-1.74210492,0.00130299,0.00130299,0.00000000,0.00002238,0.05000000,0.00033560,0.00000000,
71,dense_grid_hazard,-1.86051992,0.00108582,0.00108582,0.00000000,0.00001585,0.05000000,0.00030572,0.00000000,
72,dense_grid_hazard,-1.68368068,0.00141144,0.00141144,0.00000000,0.00002330,0.05000000,0.00046713,0.00000000,
73,dense_grid_hazard,-1.86050827,0.00108582,0.00108582,0.00000000,0.00001589,0.05000000,0.00030572,0.00000000,
74,dense_grid_hazard,-1.68137555,0.00141144,0.00141144,0.00000000,0.00003090,0.05000000,0.00036513,0.00000000,
75,dense_grid_hazard,-1.67823052,0.00141144,0.00141144,0.00000000,0.00004127,0.05000000,0.00052291,0.00000000,
76,dense_grid_hazard,-1.68136727,0.00141144,0.00141144,0.00000000,0.00003093,0.05000000,0.00036513,0.00000000,
77,dense_grid_hazard,-1.68178851,0.00141144,0.00141144,0.00000000,0.00002954,0.05000000,0.00048343,0.00000000,
78,dense_grid_hazard,-1.72364236,0.00133761,0.00133761,0.00000000,0.00002205,0.05000000,0.00033639,0.00000000,
79,dense_grid_hazard,-1.68177215,0.00141144,0.00141144,0.00000000,0.00002959,0.05000000,0.00048343,0.00000000,
