idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,terminal_reward,step_reward,micro_reward,cfg_json,error
41,two_path_chain,-1.608343300804231,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
42,two_path_chain,-1.6105997294561778,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.1,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}",
43,two_path_chain,-1.6069470504555174,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.1,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}",
44,two_path_chain,-1.6105997294561778,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.1,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}",
45,two_path_chain,-1.6237376612671983,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.6,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}",
46,two_path_chain,-0.7810852081632432,0.0025048127398443255,0.25,0.2857142857142857,0.0012202933860780048,1.1,30,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.1}",
47,two_path_chain,-1.606769571527241,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
48,two_path_chain,-1.6023887106477124,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
49,two_path_chain,-1.606769571527241,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
50,two_path_chain,-1.6024874152574917,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.1,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}",
51,two_path_chain,-1.5976564791526433,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
52,two_path_chain,-1.592586439058556,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.1,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}",
53,two_path_chain,-1.5871379043158829,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
54,two_path_chain,-1.675315173719377,0.0010815928318555147,0.1,0.1,0.0005325609375126138,1.6,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}",
55,two_path_chain,-1.6219952309900176,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.6,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}",
56,two_path_chain,-1.61902769906842,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.6,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}",
57,two_path_chain,-1.6166223512201856,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.6,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}",
58,two_path_chain,-1.6120315313296474,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.6,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}",
59,two_path_chain,-0.7877832992432451,0.0024815652441574514,0.25,0.2857142857142857,0.0012218874552450394,1.1,30,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 1.1}",
60,dense_grid_hazard,0.04309457240140824,0.0034742339285701064,0.3,0.55,0.0016925755036623594,2.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
61,dense_grid_hazard,-0.14261353645944486,0.002880932121209258,0.3,0.6,0.001418530029224863,2.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}",
62,dense_grid_hazard,0.5551547388514044,0.004288372726917847,0.35,0.65,0.0020892072259343355,2.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
63,dense_grid_hazard,0.45557556290193446,0.004073003054095161,0.35,0.65,0.001984283539174566,2.5,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}",
64,dense_grid_hazard,0.31781205705400095,0.0037677657554252356,0.35,0.65,0.0018355781885404994,3.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 3.0}",
65,dense_grid_hazard,-0.0607057692614294,0.0030765870938643373,0.3,0.6,0.0014988501226518565,2.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
66,dense_grid_hazard,-0.16663268031651884,0.0029435029109778333,0.2857142857142857,0.5714285714285714,0.0014340142386815085,2.0,30,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 2.0}",
67,dense_grid_hazard,-0.14384667991766997,0.002878192611414647,0.3,0.6,0.0014171811335391914,2.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}",
68,dense_grid_hazard,-0.2501078653446852,0.002644821280086273,0.3,0.6,0.0013022724069460328,2.5,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}",
69,dense_grid_hazard,0.45559486460598025,0.004073003054095161,0.35,0.65,0.001984283539174566,2.5,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}",
70,dense_grid_hazard,-0.2500919922464878,0.002644821280086273,0.3,0.6,0.0013022724069460328,2.5,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}",
71,dense_grid_hazard,-0.38020761675228343,0.002355954457061438,0.25,0.6,0.0011600384890099466,3.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 3.0}",
72,dense_grid_hazard,0.31783396228227667,0.0037677657554252356,0.35,0.65,0.0018355781885404994,3.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 3.0}",
73,dense_grid_hazard,-0.3801906571748105,0.002355954457061438,0.25,0.6,0.0011600384890099466,3.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 3.0}",
74,dense_grid_hazard,-0.13344147352233338,0.0029017225716574174,0.3,0.6,0.0014287669515267484,2.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}",
75,dense_grid_hazard,-0.05731015246815441,0.0030842164883955873,0.3,0.6,0.001502567007167081,2.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
76,dense_grid_hazard,-0.11408703224671451,0.0029451187216072016,0.3,0.6,0.001450134598963952,2.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}",
77,dense_grid_hazard,-0.06125098135981111,0.0030815855947610668,0.3,0.6,0.0015012852897553915,2.5,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}",
78,dense_grid_hazard,-0.2561112700144258,0.002631523662995063,0.3,0.6,0.0012957248492919853,2.5,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}",
79,dense_grid_hazard,-0.06009283898416912,0.003084208199131184,0.3,0.6,0.0015025629688075,2.5,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}",
