idx,family,horizon,gamma,reward_bound,mean_margin_abs_mean,mean_margin_abs_median,mean_margin_sq,mean_A_t,ratio_margin_over_A,mean_abs_u_pred,error,cfg
41,two_path_chain,20,0.97,1.1,1.0195114378261751,1.0447717784611026,1.0687779382359994,18.739432903318438,0.05440460461563044,0.0009248256683349609,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
42,two_path_chain,20,0.95,1.1,1.098202451541978,1.125019008135639,1.2535549542399447,16.94360348633773,0.06481516475686534,0.0009253025054931641,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
43,two_path_chain,20,0.95,1.1,1.3179797568527056,1.3361356714325667,1.8233526981954455,16.94360348633773,0.07778627243699622,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
44,two_path_chain,20,0.95,1.1,1.098202451541978,1.125019008135639,1.2535549542399447,16.94360348633773,0.06481516475686534,0.0009253025054931641,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
45,two_path_chain,20,0.95,1.6,1.317979756852706,1.3361356714325674,1.8233526981954467,24.64524143467306,0.05347806230043492,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
46,two_path_chain,30,0.95,1.1,0.7788023848901336,0.8169969960297767,0.7252505532396479,20.60301518661192,0.03780040823326716,0.0015347932262757718,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.1}"
47,two_path_chain,20,0.97,1.1,1.2718408579780192,1.2861289944939405,1.6798313809930903,18.739432903318438,0.06786976236366243,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
48,two_path_chain,20,0.97,1.1,1.524170278129862,1.5274862105267766,2.451505773225599,18.739432903318438,0.08133492011169437,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
49,two_path_chain,20,0.97,1.1,1.2718408579780192,1.2861289944939405,1.6798313809930903,18.739432903318438,0.06786976236366243,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
50,two_path_chain,20,0.95,1.1,1.5377570621634344,1.5472523347294957,2.5141351459160552,16.94360348633773,0.09075738011712717,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
51,two_path_chain,20,0.97,1.1,1.7764996982817067,1.7688434265596142,3.3838011149335356,18.739432903318438,0.09480007785972641,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
52,two_path_chain,20,0.95,1.1,1.9773116727848907,1.9694856613233522,4.258654152652587,16.94360348633773,0.11669959547738899,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
53,two_path_chain,20,0.97,1.1,2.2811585385853936,2.251557858625289,5.7302546467756725,18.739432903318438,0.12173039335579033,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
54,two_path_chain,20,0.97,1.6,1.5241702781298625,1.5274862105267772,2.4515057732256014,27.25735695028136,0.055917757576789906,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}"
55,two_path_chain,20,0.95,1.6,1.9773116727848916,1.969485661323353,4.258654152652588,24.64524143467306,0.08023097189070497,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
56,two_path_chain,20,0.97,1.6,2.281158538585394,2.2515578586252896,5.730254646775676,27.25735695028136,0.08368964543210589,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}"
57,two_path_chain,20,0.95,1.6,2.6366435887170763,2.6028356512141393,7.782817940995686,24.64524143467306,0.10698388148097497,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
58,two_path_chain,20,0.97,1.6,3.0381467990409248,2.975629506723801,10.454592065604551,27.25735695028136,0.11146153328742184,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}"
59,two_path_chain,30,0.97,1.1,0.8883171140492847,0.9204964642008482,0.9302003005751681,23.343513809306167,0.03805413020961509,0.0015204508691477098,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 1.1}"
60,dense_grid_hazard,20,0.95,2.0,0.6831273213065547,0.7432594490340714,0.6299454062033967,31.670764464554452,0.02156965052331158,0.0021870627441452056,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
61,dense_grid_hazard,20,0.97,2.0,0.7039864591210329,0.7673420628751746,0.6642280792666472,34.61873085780109,0.020335420787454848,0.0021845737583888166,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
62,dense_grid_hazard,20,0.95,2.0,0.6827304679691926,0.7470930202237185,0.6296896427437303,31.627944469882557,0.02158630538318154,0.0022149577179000884,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
63,dense_grid_hazard,20,0.95,2.5,0.6824431738515455,0.7470930202237185,0.62912262529534,39.53566202444901,0.01726145810912487,0.0022154300998577523,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
64,dense_grid_hazard,20,0.95,3.0,0.6827424385574279,0.7470930202237185,0.6297138670001583,47.4436721538538,0.014390590094783998,0.002215902477614271,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 3.0}"
65,dense_grid_hazard,20,0.95,2.0,0.6641417970946452,0.7146784548088003,0.6070103823132907,31.62397501055802,0.02100121179810299,0.0021860605377119766,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
66,dense_grid_hazard,30,0.95,2.0,0.6824529248605365,0.7383999183662857,0.6294129493660219,31.62822001571996,0.021577342149553203,0.0021899237670944243,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 2.0}"
67,dense_grid_hazard,20,0.97,2.0,0.7046104885327976,0.7673420628751746,0.6654693649795844,34.61873085780109,0.02035344656125713,0.0021845737583888166,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
68,dense_grid_hazard,20,0.97,2.5,0.704304841473974,0.7673420628751746,0.6648461059509189,43.27391469690359,0.016275505611337022,0.002027912866072938,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}"
69,dense_grid_hazard,20,0.95,2.5,0.6833289973809573,0.7470930202237185,0.6309595114474845,39.53566202444901,0.017283863792602838,0.0022154300998577523,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
70,dense_grid_hazard,20,0.97,2.5,0.70524725323868,0.7673420628751746,0.666862062465775,43.27391469690359,0.016297283436877114,0.002027912866072938,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}"
71,dense_grid_hazard,20,0.97,3.0,0.7046232238269152,0.7673420628751746,0.6654959708704846,51.92929898586698,0.01356889535556189,0.0018559058086315256,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 3.0}"
72,dense_grid_hazard,20,0.95,3.0,0.6839275267927221,0.7470930202237185,0.6323490860335917,47.4436721538538,0.01441556894194092,0.002215902477614271,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 3.0}"
73,dense_grid_hazard,20,0.97,3.0,0.7058840179445622,0.7673420628751746,0.668382112893142,51.92929898586698,0.013593174406931141,0.0018559058086315256,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 3.0}"
74,dense_grid_hazard,20,0.97,2.0,0.6847476220093874,0.7399393645150205,0.6372100205641381,34.642147246264415,0.01976631578699921,0.002184545072351391,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
75,dense_grid_hazard,20,0.95,2.0,0.6647469822798303,0.7146784548088003,0.6080511065072186,31.62397501055802,0.021020348708784935,0.0021860605377119766,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
76,dense_grid_hazard,20,0.97,2.0,0.6853528071945725,0.7399393645150205,0.6383195148487569,34.642147246264415,0.01978378540806175,0.002184545072351391,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
77,dense_grid_hazard,20,0.95,2.5,0.6644603156131638,0.7146784548088003,0.6075437985557088,39.530681208045415,0.01680872414305703,0.0021865207871767595,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
78,dense_grid_hazard,20,0.97,2.5,0.6850661405279059,0.7399393645150205,0.6377796315911304,43.303172780845514,0.01582022970914811,0.0020551955002826037,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}"
79,dense_grid_hazard,20,0.95,2.5,0.6653840193168674,0.7146784548088003,0.6092708278809438,39.530681208045415,0.016832090897068736,0.0021865207871767595,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
